"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"181";"ES0527";"F22017602";"RIOCINCA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"182";"ES0528";"F96554019";"SAT 64CV CITRUSALGE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"183";"ES0532";"F38387528";"UNEXTOMATES";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"184";"ES0535";"F26006965";"FRUTOS DEL CAMPO (KUMIX)";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"185";"ES0538";"B14117337";"GUADEX";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"186";"ES0539";"F25376757";"PLADGOLD";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"187";"ES0540";"F04034831";"INVER";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"188";"ES0542";"F18034686";"PROCAM";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"189";"ES0545";"F12438578";"AGROAL";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;24/11/2025
"190";"ES0547";"F18013748";"GRANADA LA PALMA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"191";"ES0550";"F04212403";"NATURSUR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"192";"ES0551";"F35010289";"SAN NICOLAS DE TOLENTINO (COAGRISAN)";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"193";"ES0554";"F38399010";"RAYMI";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"194";"ES0564";"V35104645";"NICOLASES";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"195";"ES0567";"V41812744";"EXPORT SURFRUIT";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"196";"ES0569";"A30034441";"FRUTAS ESTHER";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"197";"ES0570";"F35077700";"YEOWARD DEL CAMPO";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"198";"ES0571";"F35045301";"CAMPO DE SARDINA DEL SUR ""COLICAM""";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"199";"ES0576";"V04256954";"PRIMAFLOR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"200";"ES0577";"B30516645";"KERNEL EXPORT";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"201";"ES0584";"F22157580";"FITOAGRO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"202";"ES0585";"F22199178";"FRUTOS DEL CINCA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"203";"ES0586";"V30541916";"SAT Nº 9895 AGRICOLA PERICHAN";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"204";"ES0591";"A30553499";"HORTOFRUTICOLA TOPI";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"205";"ES0592";"F25380155";"SANT DOMENEC";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"206";"ES0594";"F22007983";"AGROPECUARIA DEL CINCA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"207";"ES0595";"F22202295";"ARYCA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"208";"ES0596";"F22199186";"VEGA FRUITS";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"209";"ES0597";"F06139109";"ACOPAEX";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"210";"ES0598";"V30558738";"SAT Nº 9909 LAS PRIMICIAS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"211";"ES0599";"F18013664";"EL GRUPO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"212";"ES0602";"V26253138";"FRUTAS Y VERDURAS VALLE DE RINCON";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"213";"ES0608";"F96561865";"SAT CASA BLAVA 58 CV";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"214";"ES0611";"F96572342";"LAYPOVE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"215";"ES0614";"V06034235";"COMERCIAL AGROPECUARIA ( CASAT )";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"216";"ES0616";"F53218111";"YAFER AGRICOLA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"217";"ES0617";"F12454187";"EUROCOCI";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"218";"ES0620";"F96671318";"VERSOL";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"219";"ES0621";"V96675384";"SAT 115 CV MARLOBE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"220";"ES0623";"B96693387";"CÍTRICOS GINERO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"221";"ES0626";"V96679394";"CITFRUT";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"222";"ES0627";"F96670393";"SAT CÍTRICOS VALENCIANOS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"223";"ES0631";"V04278586";"MABE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"224";"ES0632";"F14219265";"HORTOFRUTICOLA LAS HUERTAS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"225";"ES0634";"F41074220";"MARISMAS DE LEBRIJA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"226";"ES0635";"V14447841";"SUNARAN";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"227";"ES0637";"F26024620";"SDAD. COOP. DEL CAMPO ""GARU""";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"228";"ES0638";"V30565907";"SAT Nº 9913 ROSEGAR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"229";"ES0639";"F53198388";"SAT 9888 IMPERIO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"230";"ES0640";"F30474506";"SECCION OPFH DE FRUVEG, S.C.L.";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"231";"ES0642";"F30711899";"COOPERATIVA AGRICOLA LEVANTE SUR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"232";"ES0644";"F35105568";"BOTIJA";"Organización de productores de frutas y hortalizas";"CANARIAS";17/12/2025;17/12/2025;31/01/2023
"233";"ES0645";"F35092162";"AGRICOLA DE TASARTE  ( COPARLITA )";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"234";"ES0649";"F41538919";"""MANCERA"", S.COOP. AGRARIA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"235";"ES0652";"B12457230";"GREENMED S. L. ";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"236";"ES0653";"F04261210";"DUNAMAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"237";"ES0660";"V30048995";"SAT Nº 97 BLANCASOL";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"238";"ES0661";"F31021793";"LA ESPERANZA";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"239";"ES0668";"F21256185";"FRESCITRUS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"240";"ES0670";"F41867482";"NARANJALES DEL GUADALQUIVIR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"241";"ES0673";"F45402492";"PUEBLA";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"242";"ES0674";"F03231768";"ORTUÑOS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"243";"ES0675";"F43517051";"BAIX MON";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;30/01/2024
"244";"ES0678";"F30511364";"SECCION SOCIOS PRODUCTORES DE CITRISOL, S.COOP.";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"245";"ES0679";"F41021486";"SAN SEBASTIAN";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"246";"ES0680";"V04283032";"COSTA DE NIJAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";17/12/2025;17/12/2025;22/10/2025
"247";"ES0682";"F53170650";"OLE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"248";"ES0685";"V53233102";"SAT Nº 9915 CITRICOS DEL SURESTE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"249";"ES0689";"F06268940";"ACOBA";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"250";"ES0693";"B30721237";"GRUPO HORTOFRUTICOLA MURCIANA DE VEGETALES";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"251";"ES0694";"F25390675";"EXPO FRUITS SOSES, SOCIEDAD COOPERATIVA LIMITADA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"252";"ES0698";"V96706874";"ALMATERRA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;23/07/2024
"253";"ES0702";"F11016474";"NTRA. SRA. DE LAS VIRTUDES";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"254";"ES0707";"F96793344";"TUFRUTA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"255";"ES0709";"F11017936";"COOPERATIVA DEL CAMPO GUADIARO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"256";"ES0726";"F21022561";"GRUFESA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"257";"ES0732";"F50722719";"CALARI";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"258";"ES0733";"F41021544";"PRODUCTORES DEL CAMPO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"259";"ES0738";"F04307104";"COSTA DULCE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"260";"ES0743";"F30581276";"EXPOAGUILAS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"261";"ES0744";"F18450635";"HORTOFRUTICOLA LA CAÑA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;30/01/2024
"262";"ES0745";"F10234953";"VERAFRU";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"263";"ES0746";"F50785914";"SERVICAMPO DE EBRO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"264";"ES0747";"F31099278";"AGRICOLA SAN ISIDRO DE CADREITA";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"265";"ES0751";"F50770189";"PRODEBRO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"266";"ES0752";"F31628803";"BUÑUEL";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"267";"ES0753";"F31021454";"SANTIAGO APOSTOL DE FUNES";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"268";"ES0754";"F06208276";"SUMIFRUT";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"269";"ES0756";"F10229599";"APROCEX";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"270";"ES0758";"F41082868";"FOASAT";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"271";"ES0761";"F25392143";"FRUTAITO";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"272";"ES0767";"F30368559";"HOYAMAR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"273";"ES0768";"V04307666";"AGROLEVANTE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"274";"ES0770";"F30430540";"DEILOR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"275";"ES0771";"F11004751";"VIRGEN DEL ROCIO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"276";"ES0773";"F26049650";"HORTOFRUTICOLA EL RASO";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"277";"ES0785";"F04323960";"COSTA EJIDO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"278";"ES0788";"F12511135";"REAL EXPORT";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"279";"ES0792";"V29055175";"TROPS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"280";"ES0794";"F21284997";"INTER TERRA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"281";"ES0795";"F06302160";"ALGORCHA";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"282";"ES0796";"F21284757";"LAS PALMERITAS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"283";"ES0798";"V25053844";"MOLNAR FRUITS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"284";"ES0803";"F96995766";"INTEGRADA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"285";"ES0804";"F02289411";"MERCAJUCAR";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"286";"ES0805";"F26305383";"EUROCHAMP";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"287";"ES0808";"F21273008";"ALFRUT";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"288";"ES0810";"F12513800";"SOLVERD";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"289";"ES0812";"V04324323";"EUROSOL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"290";"ES0814";"F73109332";"SAT Nº 9836 AGRICULTURA Y EXPORTACION";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"291";"ES0815";"F06262091";"TOMATES EXTREMEÑOS";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"292";"ES0816";"F06226989";"AGROCAM";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"293";"ES0817";"F10007151";"SAN RAFAEL";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"294";"ES0818";"F30587919";"CAMPO DE LORCA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"295";"ES0819";"F06341648";"PHENIX EXTREMADURA";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"296";"ES0820";"B06304448";"EXTREMEÑA DE TOMATES";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"297";"ES0823";"F25455874";"PONT DE VALL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"298";"ES0825";"F50007780";"AGRICOLA  SAN LORENZO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"299";"ES0826";"B73108755";"AGRIOS EL CARRIL";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"300";"ES0827";"V53566949";"MIRACAMPO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"301";"ES0831";"F04354981";"NATURE CHOICE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"302";"ES0832";"B06341333";"FRUGALIA";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"303";"ES0833";"V25481821";"UNIPLA, ASATS Nº 1438 CAT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"304";"ES0834";"B43639558";"MONTFRUIT EXPORT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"305";"ES0835";"V21316484";"MOGALLA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"306";"ES0836";"F73068231";"FRUTAS CAMPO DE BLANCA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"307";"ES0840";"F97133540";"CLEMENSOL";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"308";"ES0841";"F07887805";"AGROEIVISSA";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"309";"ES0843";"F38671657";"DEL CAMPO PALMERO (COCAMPA)";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"310";"ES0846";"B50915776";"INTERLAZARO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"311";"ES0848";"F18019091";"CENTRO SUR (CESURCA)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"312";"ES0850";"B91218750";"ESPAFRUIT FRUTAS Y ESPARRAGOS DE ESPAÑA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"313";"ES0854";"F11012713";"SAN MARTIN DEL TESORILLO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"314";"ES0855";"F31746621";"AGROCAPELU";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;23/07/2024
"315";"ES0857";"F38008579";"""GRUPO REG.DE COOP. PLATANERAS DEL ARCHIPIELAGO CANARIO""";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"316";"ES0860";"F35710292";"AGRICULTORES DEL CENTRO DE GRAN CANARIA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"317";"ES0863";"F73122467";"UNILAND";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"318";"ES0864";"F04241063";"ALMERIFRESH";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;23/07/2024
"319";"ES0865";"F18004986";"AGRICOLA SAN FRANCISCO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"320";"ES0866";"F38692331";"IZAÑA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"321";"ES0867";"F38686747";"ORGANIZACION DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE LAS ISLAS CANARIAS";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"322";"ES0868";"F35732114";"COACEN";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"323";"ES0869";"V50923234";"JARIFRUT";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"324";"ES0872";"F35637305";"LOS CANARIONES";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"325";"ES0873";"F97361158";"CAMPO & FILOSOFO, SDAD. COOP.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"326";"ES0875";"V73121386";"SAT Nº 9843 CAMPOTEJAR DEL SEGURA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"327";"ES0876";"B73176034";"SOL Y TIERRA CAMPO DE CARTAGENA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"328";"ES0877";"F41074758";"CITRICOS ANDALUCES";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"329";"ES0880";"V21340302";"BIONEST";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"330";"ES0883";"F50099498";"FRUTICOLA MAELLANA,";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"331";"ES0884";"F48222459";"GARAIA";"Organización de productores de frutas y hortalizas";"PAIS VASCO";26/12/2023;;
"332";"ES0890";"F48112338";"BARRENETXE";"Organización de productores de frutas y hortalizas";"PAIS VASCO";26/12/2023;;
"333";"ES0893";"F03061066";"SECCIÓN COMERCIALIZACIÓN COOP. VALENCIANA AGRICOLA MONFORTE DEL CID";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"334";"ES0899";"B73249328";"AGRONATIVA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"335";"ES0900";"F44003101";"SAN MIGUEL";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"336";"ES0901";"B04112439";"POZO SUR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"337";"ES0902";"B73234635";"PRODUCTORES Y COMERCIALIZADORES DE MELON";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"338";"ES0904";"F44004869";"LA CALANDINA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"339";"ES0908";"F73107245";"FRUTAS LA CARRICHOSA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;23/07/2024
"340";"ES0909";"F30303242";"COOPERATIVA AGRICOLA DE COMERCIALIZACION COACO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"341";"ES0912";"F18379628";"LOS GALLOMBARES";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"342";"ES0919";"F14015168";"OLIVARERA NTRA. SRA. DE LA SALUD (COVIDESA)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"343";"ES0921";"F47478789";"HORCAOL  S. COOP.";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"344";"ES0924";"V07334055";"AGROMALLORCA";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"345";"ES0926";"B73093189";"HORFRUSA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"346";"ES0927";"B73145294";"NATURAL SALADS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"347";"ES0931";"V21378534";"ELDORADO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"348";"ES0934";"F21310743";"COMERCIAL AGRICOLA LA RABIDA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"349";"ES0935";"B12686937";"CAMPOS DE ALCALÁ";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"350";"ES0938";"V54030952";"AGROVEGA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"351";"ES0940";"F18669549";"ESPARRAGOS DE GRANADA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";17/12/2025;17/12/2025;24/07/2024
"352";"ES0941";"B30417109";"AGRICOLA SANTA EULALIA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"353";"ES0945";"F04532339";"MURGIVERDE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"354";"ES0946";"V97595805";"SAT 9983 ENRIQUE ROMAY";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"355";"ES0950";"F38582649";"HORTOFRUTICOLA VISTAS DE ICOD";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"356";"ES0952";"B62294939";"VEGA MAYOR";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"357";"ES0954";"F73470015";"SECCION HORTOFRUTICOLA Y FRUTOS DE CASCARA DE ALIMENTOS DEL MEDITERRANEO, S.COOP.  (ALIMER)";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"358";"ES0956";"F30798870";"FRUTAS ESPARZA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"359";"ES0957";"F21398128";"FRESPALOS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"360";"ES0962";"F54156856";"MAÑAN";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"361";"ES0964";"F30809230";"AGRODOMI";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"362";"ES0969";"V04570289";"PEREGRIN";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"363";"ES0971";"F30817670";"HUERTA GAMA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;23/07/2024
"364";"ES0974";"V73535486";"SAT Nº 9994 CAMPOSEVEN";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"365";"ES0976";"F73522138";"EXPLOTACIONES AGRICOLAS SAMPER";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;23/07/2024
"366";"ES0977";"F02003200";"SANTA MONICA";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"367";"ES0978";"F46668752";"COMARCAL DE ALMENDRAS,";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"368";"ES0981";"B10245884";"GRUPO ALBA INTERNACIONAL";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"369";"ES0982";"B06505556";"FARM FRUIT,";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"370";"ES0983";"F73538068";"UNION DE AGRICULTORES DEL MAR MENOR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"371";"ES0984";"B73518946";"MOYCA GRAPES";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"372";"ES0985";"B73472516";"ORGANIZACION DE PRODUCTORES AGROMARK";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"373";"ES0986";"F38935102";"CANARISOL";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"374";"ES0988";"V12763710";"EL NARANJO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"375";"ES0989";"V04636379";"LAS HACIENDAS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;17/12/2025;
"376";"ES0993";"V12799052";"PROALMENDRA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"377";"ES0994";"F12009528";"SAN ISIDRO DE VALL D´ALBA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"378";"ES0996";"V43923614";"CITRICS TERRES DE L'EBRE";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"379";"ES0997";"V22339279";"GLOBAL HERMANOS MIGUEL GARCIA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"380";"ES0998";"F36033132";"HORSAL";"Organización de productores de frutas y hortalizas";"GALICIA";26/12/2023;;
"381";"ES1003";"F38969218";"GARAÑAÑA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"382";"ES1004";"V98053606";"CITRUS NOSTRUM";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"383";"ES1006";"F18038067";"HORTOVENTAS,";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"384";"ES1007";"F05152392";"GREDOSUR  S. COOP.";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
