"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"CA";Fecha de alta;Fecha de modificación;Fecha de baja
"179";"14100156";"G91847491";"ASOCIACION AGRICOLA CHARENAS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"180";"14100193";"G91924779";"AGROAPI";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"181";"14100182";"G91984187";"APICOLIVAR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"182";"14100179";"G91984682";"ASECOL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"183";"14100180";"G91985911";"ASOCIACION APIDA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"184";"14100181";"G91988089";"AGRUP. DE PRODUCCIÓN INTEGRADA GESAGON";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"185";"14100177";"G91990168";"ASOCIACIÓN DE PROFESIONALES AGROPECUARIO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"186";"12900001";"G92592336";"ASOC. PRODUCCIÓN INTEGRADA DE ANTEQUERA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"187";"12900006";"G92821883";"ASOCIACION API LA CAMORRA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"188";"12900008";"G93103208";"ASOCIACCIÓN LOS OLIVILLOS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"189";"12900014";"G93204584";"ASOCIACIÓN DE AGRICULTORES EL ESQUIMO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"190";"12900012";"G93232981";"API VIÑA DE MALAGA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"191";"12900016";"G93368850";"ASOC. AGRICULT. OLIVICULTURA TECNIFICADA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"192";"12300009";"J23554991";"API CORTIJO GUADIANA S.C.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"193";"11400088";"Q1471007C";"CONSEJO REGULADOR D.O.P.MONTILLA-MORILES";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"194";"10400150";"V04020533";"ACRENA SAT Nº 251";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"195";"10400151";"V04188488";"INDASOL, S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"196";"10400014";"V04258901";"GREENCOBI S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"197";"10400155";"V04278586";"SAT HORTOFRUTICOLA MABE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"198";"10400154";"V04283032";"SAT COSTA DE NIJAR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"199";"10400152";"V04307666";"SAT AGROLEVANTE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"200";"10400022";"V04324323";"SAT EUROSOL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"201";"11400019";"V14061725";"AGRUP. CORDOBESA DE AGRICULT. S.A.T.5185";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"202";"11400007";"V14511190";"OROBAENA, S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"203";"11800055";"V18978064";"SAT CAMPOS DE GRANADA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"204";"12100154";"V21340302";"SAT H0023 BERRYNEST";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"205";"11100016";"V72024540";"AGRUP. DE PRODUCCION INTEG.DEL ROSARIO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"206";"14100208";"V90188145";"AGRUPACIÓN DE ALGODONEROS R Y D";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"207";"221102";"G22253728";"ATRIA VEGA CINCA";"ATRIA";"ARAGÓN";26/12/2023;;
"208";"221107";"G22320303";"CINCA-MONEGROS";"ATRIA";"ARAGÓN";26/12/2023;;
"209";"221110";"F22157424";"SAIDIFRUT S.C.L";"ATRIA";"ARAGÓN";26/12/2023;;
"210";"221115";"F22202295";"SAT ARYCA Nº9894 OP595";"ATRIA";"ARAGÓN";26/12/2023;;
"211";"221120";"G42880427";"CISTUS";"ATRIA";"ARAGÓN";26/12/2023;;
"212";"221121";"G67772301";"ATRIA LETCA";"ATRIA";"ARAGÓN";26/12/2023;;
"213";"221122";"F22199186";"VEGA FRUITS";"ATRIA";"ARAGÓN";26/12/2023;;
"214";"221189";"F22002851";"SOCIEDAD COOPERATIVA DEL CAMPO SAN MARCOS BINACETENSE";"ATRIA";"ARAGÓN";26/12/2023;;
"215";"221216";"V22400535";"S.A.T. EXCELSIOR";"ATRIA";"ARAGÓN";26/12/2023;;
"216";"221293";"F22007983";"AGROPECUARIA DEL CINCA, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"217";"221303";"F22102859";"SAT Nº 8553 ALMENDRAS ALTO ARAGÓN";"ATRIA";"ARAGÓN";26/12/2023;;
"218";"221315";"G22394647";"CRISOLAR ASOCIACIÓN PARA TRATAMIENTOS INTEGRADOS EN AGRICULTURA ATRIA";"ATRIA";"ARAGÓN";26/12/2023;;
"219";"221415";"F22157580";"FITOAGRO S.CAL.";"ATRIA";"ARAGÓN";26/12/2023;;
"220";"224103";"G22105290";"ORGANIZACIÓN REGIONAL DE PRODUCTORES OLIVAREROS DE ARAGÓN (ORPO)";"ATRIA";"ARAGÓN";26/12/2023;;
"221";"225102";"F22007827";"SAT Nº 580 SECADERO DE CEREALES SANTIAGO";"ATRIA";"ARAGÓN";26/12/2023;;
"222";"225115";"G22109243";"ASOCIACIÓN GENERAL DE PRODUCTORES DE MAÍZ EN ESPAÑA INSTITUTO AGRÍCOLA Y GANADEROS ( AGPME-ITAGA)";"ATRIA";"ARAGÓN";26/12/2023;;
"223";"225205";"F22003875";"COOPERATIVA LOS MONEGROS DE SARIÑENA, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"224";"225218";"F22002331";"VIRGEN DE LA CORONA";"ATRIA";"ARAGÓN";26/12/2023;;
"225";"225590";"F22004022";"SOCIEDAD COOPERATIVA INTERPROVINCIAL AGRÍCOLA Y GANADERA SANTA OROSIA";"ATRIA";"ARAGÓN";26/12/2023;;
"226";"225591";"F22002463";"SOCIEDAD COOPERATIVA LIMITADA AGRÍCOLA DE BARBASTRO";"ATRIA";"ARAGÓN";26/12/2023;;
"227";"225694";"F22030605";"USATA, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"228";"226190";"G22110290";"ARROCEROS DE HUESCA";"ATRIA";"ARAGÓN";26/12/2023;;
"229";"226198";"F22184196";"ARROCERA DEL PIRINEO, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"230";"228122";"F22002000";"SANTA LETICIA";"ATRIA";"ARAGÓN";26/12/2023;;
"231";"228218";"F22374052";"SUMMER FRUIT";"ATRIA";"ARAGÓN";26/12/2023;;
"232";"441204";"F44003101";"COOPERATIVA DEL CAMPO SAN MIGUEL";"ATRIA";"ARAGÓN";26/12/2023;;
"233";"441399";"F44004869";"LA CALANDINA, S.C.";"ATRIA";"ARAGÓN";26/12/2023;;
"234";"441404";"F44006450";"FRUTOS SECOS ALCAÑIZ S.COOP.LTDA";"ATRIA";"ARAGÓN";26/12/2023;;
"235";"441484";"F44003127";"COOPERATIVA DEL CAMPO Y CAJA RURAL SAN MIGUEL";"ATRIA";"ARAGÓN";26/12/2023;;
"236";"444106";"F44028793";"COOPERATIVA DE ACEITES DEL MATARRAÑA S.C.L";"ATRIA";"ARAGÓN";26/12/2023;;
"237";"445305";"F44002004";"SOCIEDAD COOPERATIVA DEL CAMPO NUESTRA SEÑORA DE LOS PUEYOS";"ATRIA";"ARAGÓN";26/12/2023;;
"238";"445790";"F44031896";"CEREALES TERUEL, S.C.";"ATRIA";"ARAGÓN";26/12/2023;;
"239";"501108";"G99209009";"ASOCIACION ATRIA NERTOBRIGA";"ATRIA";"ARAGÓN";26/12/2023;;
"240";"501109";"B50915776";"INTERLÁZARO, S.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"241";"501116";"G99481277";"ATRIA MAR DE ARAGON";"ATRIA";"ARAGÓN";26/12/2023;;
"242";"501185";"G50136464";"ATRIA DE ÉPILA";"ATRIA";"ARAGÓN";26/12/2023;;
"243";"501186";"G50161876";"ATRIA DE FRUTICULTORES LA ALMUNIA-ALFAMÉN";"ATRIA";"ARAGÓN";26/12/2023;;
"244";"501191";"V50469675";"ATRIA AGRÍCOLA RÍO JALÓN";"ATRIA";"ARAGÓN";26/12/2023;;
"245";"501194";"F50464163";"FRUTÍCOLA BAJO ARAGONESA, S.C.";"ATRIA";"ARAGÓN";26/12/2023;;
"246";"501196";"F50158708";"LA CHIPRANESCA, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"247";"501198";"B50561091";"FRUTARIA AGRICULTURA S.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"248";"501201";"F50007780";"SOCIEDAD COOPERATIVA AGRÍCOLA SAN LORENZO";"ATRIA";"ARAGÓN";26/12/2023;;
"249";"501221";"V99438293";"ATRIA ALBICE";"ATRIA";"ARAGÓN";26/12/2023;;
"250";"501290";"F50019405";"SOCIEDAD COOPERATIVA AGRARIA SAN SEBASTIAN";"ATRIA";"ARAGÓN";26/12/2023;;
"251";"501291";"G50477959";"ATRIA DE RICLA";"ATRIA";"ARAGÓN";26/12/2023;;
"252";"501304";"G50993310";"ASOCIACIÓN EL COMPROMISO";"ATRIA";"ARAGÓN";26/12/2023;;
"253";"501499";"V50157510";"SAT 6793 AGRÍCOLA RÍO JALÓN";"ATRIA";"ARAGÓN";26/12/2023;;
"254";"501599";"F50801083";"ATRIA DE FRUTALES DE PARACUELLOS";"ATRIA";"ARAGÓN";26/12/2023;;
"255";"503101";"A50723089";"GRANDES VINOS Y VIÑEDOS, S.A.";"ATRIA";"ARAGÓN";26/12/2023;;
"256";"503103";"F50011345";"ATRIA DE VID SANTA ANA-NIÑO PERDIDO";"ATRIA";"ARAGÓN";26/12/2023;;
"257";"503104";"F50011048";"BODEGAS SAN VALERO SOCIEDAD COOPERATIVA";"ATRIA";"ARAGÓN";26/12/2023;;
"258";"503105";"F50011261";"SOCIEDAD COOPERATIVA DEL CAMPO SAN ALEJANDRO DE MIEDES";"ATRIA";"ARAGÓN";26/12/2023;;
"259";"503106";"F50011139";"COOPERATIVA DEL CAMPO SAN JUAN BAUTISTA";"ATRIA";"ARAGÓN";26/12/2023;;
"260";"503115";"F50019611";"SOCIEDAD COOPERATIVA VITIVINICOLA DE LONGARES";"ATRIA";"ARAGÓN";26/12/2023;;
"261";"503116";"F50011311";"BODEGAS PANIZA S.COOP.";"ATRIA";"ARAGÓN";26/12/2023;;
"262";"503118";"G99357998";"ATRIA CARIÑENA BELCHITE";"ATRIA";"ARAGÓN";26/12/2023;;
"263";"503119";"F50019116";"SOCIEDAD COOPERATIVA SAN GREGORIO";"ATRIA";"ARAGÓN";26/12/2023;;
"264";"503199";"F50019397";"CRIANZAS Y VIÑEDOS SANTO CRISTO SOCIEDAD COOPERATIVA";"ATRIA";"ARAGÓN";26/12/2023;;
"265";"503299";"F50010990";"SOCIEDAD COOPERATIVA LIMITADA AGRÍCOLA DE BORJA";"ATRIA";"ARAGÓN";26/12/2023;;
"266";"503399";"F50011253";"SANTO CRISTO DE MAGALLÓN, SOCIEDAD COOPERATIVA COMARCAL";"ATRIA";"ARAGÓN";26/12/2023;;
"267";"505106";"F50011469";"SOCIEDAD COOPERATIVA AGRARIA SAN LAMBERTO";"ATRIA";"ARAGÓN";26/12/2023;;
"268";"505107";"F50019637";"COOPERATIVA SANTÍSIMO CRISTO DE LA COLUMNA";"ATRIA";"ARAGÓN";26/12/2023;;
"269";"505118";"G99536807";"ATRIA BAJO GALLEGO";"ATRIA";"ARAGÓN";26/12/2023;;
"270";"505198";"F50019579";"SOCIEDAD COOPERATIVA AGRARIA SAN PEDRO";"ATRIA";"ARAGÓN";26/12/2023;;
"271";"505199";"F50019140";"SOCIEDAD COOPERATIVA AGRARIA  SAN MIGUEL DE FUENTES DE EBRO";"ATRIA";"ARAGÓN";26/12/2023;;
"272";"505207";"F50785914";"SERVICAMPO DEL EBRO, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"273";"505396";"F50011352";"COOP. SAN JOSÉ";"ATRIA";"ARAGÓN";26/12/2023;;
"274";"505588";"F50011097";"COOPERATIVA DEL CAMPO VIRGEN DE LA OLIVA, S.C.L.";"ATRIA";"ARAGÓN";26/12/2023;;
"275";"505690";"F50011410";"COOPERATIVA DEL CAMPO SAN MIGUEL DE TAUSTE";"ATRIA";"ARAGÓN";26/12/2023;;
"276";"508115";"G99430936";"ATRIA LA VEGA";"ATRIA";"ARAGÓN";26/12/2023;;
"277";"508118";"G99532855";"BAJO ARAGÓN";"ATRIA";"ARAGÓN";26/12/2023;;
"278";"508215";"G99430928";"ATRIA EL BANCAL";"ATRIA";"ARAGÓN";26/12/2023;;
"279";;"F74337593";"CAMPOASTUR PRODUCTOS Y SERVICIOS SOC. COOP.-FABA";"ATRIA";"ASTURIAS";26/12/2023;;
"280";;"F74337593";"CAMPOASTUR PRODUCTOS Y SERVICIOS SOC. COOP.-MANZANO";"ATRIA";"ASTURIAS";26/12/2023;;
"281";;"G74068438";"ASOCIACIÓN VINO DE CALIDAD DE CANGAS";"ATRIA";"ASTURIAS";26/12/2023;;
"282";;"G74447079";"ASOCIACIÓN TRATAMIENTOS INTEGRADOS EN AGRICULTURA NATURBIA";"ATRIA";"ASTURIAS";26/12/2023;;
"283";;"G74323478";"ASOCIACIÓN ASTURIANA DE PRODUCTORES DE PEQUEÑOS FRUTOS";"ATRIA";"ASTURIAS";26/12/2023;;
"284";;"F46027322";"Soc. Coop. Mareny de Barraquetes, C.V. de Mareny de Barraquetes (Sueca)";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"285";;"F46051066";"Coop.  Agrícola ""Copuzol"" de Puçol";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"286";;"F46027314";"Coop. ""Unión Protectora"" de El Perelló (Sueca)";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"287";;"F46046397";"Coop. Agrícola  ""Nª Sª del Rebollet"" de Oliva";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"288";;"F46024014";"Coop.Agrícola ""San José Obrero"" de Albalat de la Ribera";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"289";;"F46024436";"Coop. Agrícola de Alginet";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"290";;"F46024469";"Coop. Agrícola y Ganadera de Almussafes";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"291";;"F96443817";"Coop. ""Fruitvall"" de Llutxent";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"292";;"F46026605";"Coop. ""Pedralva Vinícola"" de Pedralba";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"293";;"F46025037";"Coop. Agrícola ""San Bernardo"" de Carlet";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"294";;"F46025508";"Coop. V. Bodega ""Unión de Cosecheros"" de Chiva";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"295";;"F46024139";"Coop. Agrícola ""San José"" de Alcàcer";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"296";;"F46230827";"Coop. ""La Turisana"" de Turís";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"297";;"F46026241";"Coop. ""Stmo. Cristo de la Salud"" de Millares";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"298";;"F46026837";"Coop. Agrícola ""La Realense"" de Real de Montroi";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"299";;"F46051025";"Coop. Hortofrutícola ""Cohoca"" de Benifaió";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"300";;"F46034989";"Coop. Agrícola de Gandía";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"301";;"F96554019";"S.A.T. Nº 65 ""Citrusalge"" de Algemesí";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"302";;"F46024618";"Coop. Agrícola ""San Juan Bta."" de Benicolet";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"303";;"F96671318";"S.A.T. Nº 108 ""Versol"" de Benifairó de Valldigna";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"304";;"F46042248";"Coop.  Agrícola V. de Canals";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"305";;"F46027652";"Coop. V. "" Vega Horta Nord"" de Poble Nou";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"306";;"F46230967";"Coop. ""Valsur"" de Bolbaite";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"307";;"F46155511";"Coop. V.  del Bajo Turia de Bugarra";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"308";;"F46029039";"Coop. Agrícola Nª Sª de la Fuente de Villalonga";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"309";;"F46024196";"Coop. ""Alzicoop"" Scdad. Coop. V. de Alzira";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"310";;"F12096905";"Coop. ""Narvill"" de Chelva";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"311";;"F12011524";"Coop. Citrícola ""San Alfonso"" de Betxí";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"312";;"F12095402";"Coop. Hortofrutícola ""Betxi-Export"" de Betxí";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"313";;"F12032736";"Coop. ""Nulexport"" de Nules";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"314";;"F12099453";"Coop. ""Cítricos-Onda"" de Onda";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"315";;"F12084570";"Coop. Hortofrutícola Borrianense ""Cohobo"" de Burriana";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"316";;"F12013892";"Coop. Agrícola ""San Vicente Ferrer"" de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"317";;"F12413779";"S.A.T. Nº 29 ""Productos Agrarios del Mediterráneo"" de Alquerias del Niño Perdido";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"318";;"F12009379";"Coop. Agrícola ""San Isidro"" de Castelló de La Plana";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"319";;"G12381752";"A.G.E. de la Plana Alta de Torreblanca";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"320";;"F12016051";"Coop. ""Vallfrut"" de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"321";;"F12511135";"Coop. ""Real-Export"" de Vila-Real";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"322";;"F12438578";"Coop. ""Agroal"" de Alquerias del Niño Perdido";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"323";;"F12240149";"Coop. Oleícola del Alto Palancia de Altura";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"324";;"F12010500";"Coop. Agrícola ""San Marcos"" de Chert";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"325";;"F12099388";"Coop. Hotofrutícola ""Citrivall"" Coop. V. de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"326";;"F12085999";"Coop. V. ""Buropa"" de Burriana";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"327";;"F12009346";"Coop. Agrícola ""San Isidro"" de Alcalá de Xivert";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"328";;"B12327573";"Empresa Rambla Dolz S.L. de Castelló de La Plana";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"329";;"F12010252";"Coop. Agrícola ""El Salvador"""" de Vinaròs";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"330";;"F12591814";"Vallexport Coop. V. de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"331";;"F12010625";"Coop. V. ""Codexuno"" de Almassora";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"332";;"F12010195";"Intercoop Comercial Agropecuaria, Coop. V. de Almassora";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"333";;"F12009288";"Coop. Agrícola V. ""San Bartolomé"" de Vilanova d'Alcolea";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"334";;"F03164969";"Coop. ""Cerezas Montaña Alicante"" de Patró (Vall de Gallinera)";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"335";;"F03013604";"Coop.  Agrícola y Ganadera de Alacant";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"336";;"F03014008";"Coop. del Campo de Elx";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"337";;"F03014156";"Bodega-Coop. de Monóvar";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"338";;"B03014545";"Agricola de Villena SL de Villena";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"339";;"F03290871";"Coop. V. ""Bocopa"" de Petrer";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"340";;"F03013828";"Coop. Agrícola de Callosa d'en Sarrià";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"341";;"F53086443";"Coop. ""Vega Baja de Alicante"" S.C.V. 2º Gº de San Miguel de Salinas";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"342";;"F03014735";"Coop. Agrícola de Altea";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"343";;"F03014313";"La Bodega de Pinoso Coop. V. de Pinoso";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"344";;"F03035672";"Bodega-Coop. V. de Algueña";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"345";;"F03065604";"Sociedad Coop. Agrícola ""Montaña Vinalopó"" de Castalla";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"346";;"F03020633";"Coop. Agrícola de Labradores y Ganaderos ""San Isidro"" de Castell de Castells";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"347";;"G03472982";"Asociación de Cultivadores de Palmeras Datileras de Elx";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"348";;"F53193918";"Sociedad Coop. de 2º Gº ""Agroespaña"" de Elx";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"349";;"F03070794";"Cambayas, Coop. V, de Elx";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"350";;"F03014271";"Coop. Agrícola V. ""San Blai"" de Pedreguer";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"351";;"F03919768";"Sociedad Coop. Ltda. ""Agromañán"" de Pinoso";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"352";;"G53245718";"Agrupación de Productores de Granadas ""Saladares"" de San Isidro";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"353";;"B03195450";"Empresa ""Horfres S.L."" de Villena";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"354";;"F12008934";"Coop. Católico Agraria de Vila-Real";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"355";;"F12484291";"S.A.T. Nº 9932 ""Fast Fruit"" de Nules";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"356";;"F12201299";"Coop. Torreblanca S.C.V. de Torreblanca";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"357";;"F12009411";"Coop. Agraria ""San Isidro"" de Coves de Vinromà";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"358";;"F46027488";"Coop. ""La Baronía"" de Turís";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"359";;"F46051041";"Coop. Agrícola de Villar del Arzobispo";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"360";;"F12328050";"Coop. Agriexport S.C.V. de Alquerias del Niño Perdido";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"361";;"F03018058";"Bodega  Nª Sª de la Virtudes Coop.V. de Villena";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"362";;"F03352549";"Coop. de Frutas Caminito S.Coop.V. de Orihuela";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"363";;"F53228136";"S.A.T. nº 146 Horyfrut, C.V. de Villena";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"364";;"F46993150";"Almazara Molino del Motrotón Coop.V. de Turís";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"365";;"F12093209";"Uxorange Scdad. Coop. V. de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"366";;"F46027249";"Coop. Agrícola ""La Unión"" de Silla";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"367";;"F46026621";"Coop. Agro-Cítrica Coop. V.1431 de Picassent";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"368";;"F46050449";"Coop. San Isidro Labrador Coop. V de Guadasuar";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"369";;"F46027082";"Coop. V. Agrícola San Antonio de Riba-roja del Turia";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"370";;"F96706114";"S.A.T. nº 167 CV ""Citrivercher"" de Benifairó de Valldigna";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"371";;"F96706874";"S.A.T. nº 125 ""Almaterra"" de Alqueria de la Comtessa (L')";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"372";;"F46026068";"Coop. Vinícola de Lliria";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"373";;"F96759410";"S.A.T. nº 171  C.V. Filósofo de Piles";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"374";;"F96561865";"S.A.T. nº 58 ""Casa Blava"" de Tavernes de la Valldigna";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"375";;"F12402442";"S.A.T. ""Citrical"" O.P.  590 de Carcaixent";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"376";;"F46025797";"Coop. Vinícola ""San Pedro Apóstol"" de Godelleta";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"377";;"F12376620";"Vallsol S.Coop. de Vall d'Uixó";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"378";;"F12403291";"Almazara Olivarera Cervol  S.Coop.V. de Traiguera";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
"379";;"F46024527";"Coop. San Engracio de Aielo de Malferit";"ATRIA";"COMUNIDAD VALENCIANA";26/12/2023;;
