"Código SIEX";"Código asociación";"NIF";"Razón social";"Zona de control";"Certifica a A. ecológica";"Certifica a Producción Integrada";"Certifica a DOP";"Certifica a IGP";"Certifica a ETG";"Certifica producto ibérico";"Inspecciona a cerdo ibérico";"Dirección";"Teléfono";"Email";Fecha de alta;Fecha de modificación;Fecha de baja
"76";"CR_TAST";"Q3300287D";"CONSEJO REGULADOR DE LA INDICACIÓN GEOGRÁFICA PROTEGIDA TERNERA ASTURIANA";"AST";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Pacita Vigil, 3, bajo. 33510 - Siero (Asturias)";" 985 725 777";"correo@terneraasturiana.org";20/09/2023;20/05/2024;
"77";"CR_VACE";"Q1000595G ";"CONSEJO REGULADOR DE LAS IGPS DE CARNE DE VACUNO DE EXTREMADURA";"EXT";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Avda. Ruta de la plata, nº 4. 10001 - Cáceres (Cáceres)";" 927 629 146";"consejoregulador@terneradeextremadura.org";20/09/2023;20/05/2024;
"78";"CR_CABA";"Q2100224A";"CONSEJO REGULADOR DE LAS INDICACIONES GEOGRÁFICAS PROTEGIDAS ""CABALLA DE ANDALUCÍA"" Y ""MELVA DE ANDALUCÍA""";"AND";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Glorieta del Agua,4 Planta 2, oficina 9. 41940 - Tomares (Sevilla)";" 670 388 224";"consejoregulador@caballaymelva.com";20/09/2023;20/05/2024;
"79";"CR_MAPO";"Q4100779J";"CONSEJO REGULADOR DE LAS INDICACIONES GEOGRÁFICAS PROTEGIDAS ""MANTECADO DE ESTEPA"" Y ""POLVORONES DE ESTEPA""";"AND";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Avda. del Mantecado, 7 (edificio centro de empresas); primera planta; principal izquierda. 41560 Estepa";" 954 820 500";"gestion@mantecadosypolvoronesdeestepa.com";20/09/2023;20/05/2024;
"80";"CR_MOJA";"Q4100864J";"CONSEJO REGULADOR DE LAS INDICACIONES GEOGRÁFICAS PROTEGIDAS ""MOJAMA DE BARBATE"" Y ""MOJAMA DE ISLA CRISTINA""";"AND";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Glorieta del agua, 4 Planta 2, oficina 9. 41940 - Tomares (Sevilla)";" 670 388 224";"consejoregulador@condsejoreguladordelamojama.com";20/09/2023;20/05/2024;
"81";"CR_CABR";"Q8350001G";"CONSEJO REGULADOR DENOMINACIÓN DE ORIGEN PROTEGIDA ""CABRALES""";"AST";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Ctra. General, s/n. 33555 - Cabrales (Asturias)";" 985 845 335";"dop@quesocabrales.org";20/09/2023;20/05/2024;
"82";"CR_QUET";"Q8655602D";"CONSELLO REGULADOR DA DENOMINACIÓN DE ORIXE PROTEXIDA ""QUEIXO TETILLA""";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Pazo de Quián - Sergude. 15881 - Boqueixón (A Coruña)";" 981 517 151";"info@queixotetilla.org";20/09/2023;20/05/2024;
"83";"CR_RIBE";"Q8255201I";"CONSELLO REGULADOR DA DENOMINACIÓN DE ORIXE RIBEIRO";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avenida Redondela, 3 - 2º andar. 32400 - Ribadavia (Ourense)";" 988477200";"info@ribeiro.wine";20/09/2023;20/05/2024;
"84";"CR_PATG";"Q7755068I";"CONSELLO REGULADOR DA INDICACIÓN XEOGRÁFICA PROTEXIDA PATACA DE GALICIA";"GAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"C/ Finca Devesa, s/n. 32630 - Xinzo de Limia (Ourense)";" 988 462 650";"patacadegalicia@patacadegalicia.es";20/09/2023;20/05/2024;
"85";"CR_VACG";"Q1500342I";"CONSELLO REGULADOR DAS INDICACIÓNS XEOGRÁFICAS PROTEXIDAS DE CARNE DE VACÚN DE GALICIA";"GAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Rúa do Obradoiro CAB nº 2, 15707 - Santiago de Compostela (A Coruña)";" 981.57.57.86";"consejo@vacundegalicia.com";20/09/2023;20/05/2024;
"86";"CR_RIBX";"Q8655030H";"CONSELLO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""RIAS BAIXAS""";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Plaza de la Pedreira, Edif. Pazo Mugartegui, 10. 36002 - Pontevedra (Pontevedra)";" 986.85.48.50";"consejo@doriasbaixas.eu";20/09/2023;20/05/2024;
"87";"CR_MONT";"Q8255203E";"CONSELLO REGULADOR DE LA DENOMINACIÓN DE ORIGEN MONTERREI";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Rúa Castelao, 10 Baixo. 32600 - Verín (Ourense)";" 988.590.007";"info@domonterrei.com";20/09/2023;20/05/2024;
"88";"EC_0CIC";"Q4300201C";"CONSORCI D´INSPECCIÓ I CONTROL";"CAT";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Plaça Àgora, 2-3. 08720 - Vilafranca del Penedés (Barcelona)";" 938 900 211";"dtecnic@consorciinspecciocontrol.cat";20/09/2023;20/05/2024;
"89";"PF_CALA";"Q3071005G";"DENOMINACIÓN DE ORIGEN PROTEGIDA CALASPARRA";"CLM/MUR";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Calle Maestro Gómez Donate. n° 1. 1° B, 30420 - Calasparra (Murcia)";"968 72 06 14";"info@docalasparra.com";20/09/2023;20/05/2024;
"90";"PF_JABU";"Q2171003C";"DENOMINACIÓN DE ORIGEN PROTEGIDA JABUGO";"AND/EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. Infanta Mª Luisa, 1, Edificio El Tiro, 21290 - Jabugo (Huelva)";"959 12 79 00";"info@dopjabugo.es";20/09/2023;20/05/2024;
"91";"ES-ECO-021-EX";"S0611001I";"DIRECCIÓN GENERAL DE AGRICULTURA Y GANADERÍA";"EXTREMADURA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avda. Luis Ramallo, S/N. 06800 - Mérida (Badajoz)";" 924 00 24 10/ 924 00 22 75";"agriculturaecologica@juntaex.es";20/09/2023;14/05/2024;
"92";"ES-ECO-010-AN";"B62209044";"ECOCERT S.A.S.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Luís de Morales. Edificio Forum, 32. 1ª Planta, puerta 5. 41018 - Sevilla (Sevilla)";" 954 644 217";"ecocertiberica@ecocert.com";20/09/2023;14/05/2024;
"93";"ES-ECO-010-AR";"B62209044";"ECOCERT S.A.S.";"ARAGÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Luís de Morales. Edificio Forum, 32. 1ª Planta, puerta 5. 41018 - Sevilla (Sevilla)";" 955 644 217";"ecocertiberica@ecocert.com";20/09/2023;14/05/2024;25/04/2025
"94";"EC_EICG";"B17558073";"ENTITAT D`INSPECCIO I CERTIFICACIO DE GIRONA, S.L.";"CAT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ MALUQUER SALVADOR, 13. ENTRESUELO. 17002 - Girona (Girona)";" 972 22 39 02";"certificacio@laggirona.net";20/09/2023;20/05/2024;
"95";"EC_FCGA";"G23801525";"FUNDACIÓN CERTIOLEO GARANTÍA ALIMENTARIA";"AND";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Polígono industrial Llanos de Armijo, s/n. 23360 - Puerta de Segura (Jaén)";" 953 486 063";"contacto@certioleo.com";20/09/2023;20/05/2024;
"96";"CR_ACTO";"G45421492";"FUNDACION CONSEJO REGULADOR DE LA DENOMINACION DE ORIGEN DE ACEITE DE LOS MONTES DE TOLEDO";"CLM";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ de la Paz, 3. 45001 - Toledo (Toledo)";" 925 257 402";"egtenorio@domontesdetoledo.com";20/09/2023;20/05/2024;
"97";"CR_QMAN";"G13376470";"FUNDACIÓN CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN QUESO MANCHEGO";"CLM";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"AVDA. DEL VINO, S/N. 13300 - Valdepeñas (Ciudad Real)";" 926.322.666";"certificacion@quesomanchego.es";20/09/2023;20/05/2024;
"98";"EC_HAZI";;"FUNDACIÓN HAZI FUNDAZIOA";;"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Bº DE MUNTSARATZ, Nº 17 - A. (TORRE MUNTSARATZ). 48220 - Abadiño (Bizkaia)";" 94 603 03 30";"hazi@hazi.eus";20/09/2023;;
"99";"EC_OECA";"G11890365";"FUNDACIÓN OECCA (Organismo de Evaluación de la Conformidad y Certificación Agroalimentaria)";"AND";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Avenida Alcalde Álvaro Domecq, nº2. 11402 - Jerez de la Frontera (Cádiz)";" 956 350 070";"info@oecca.es";20/09/2023;20/05/2024;
"100";"EC_FCCA";"G56040843";"FUNDACIÓN PARA EL CONTROL DE LA CALIDAD AGROALIMENTARIA DE ANDALUCÍA";"AND";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. José Padillo Delgado, s/n. Centro Envidarte. 14550 - Montilla (Córdoba)";" 603 765 156";"cgracia@fccaa.es";20/09/2023;20/05/2024;
"101";"EC_QALY";"G18924043";"FUNDACIÓN QUALYTECH ALIMENTACIÓN";"AND";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Carretera de Fuente Vaqueros s/n (antiguo Cortijo Peinado). 18340 - Fuente Vaqueros (Granada)";" 665 671 973";"presidencia@fundacionqualytech.com";20/09/2023;20/05/2024;
"102";"PF_CAVI";"Q0571002E";"INDICACIÓN GEOGRÁFICA PROTEGIDA CARNE DE ÁVILA";"AND/ARA/CLM/CYL/RIO/MAD";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Padre Tenaguillo, 8. 05004 - Ávila (Ávila)";"920 35 22 28";"consejoregulador@carnedeavila.org";20/09/2023;20/05/2024;
"103";"ES-ECO-014-IC";"Q3800459D";"INSTITUTO CANARIO DE CALIDAD AGROALIMENTARIA (ICCA)";"ISLAS CANARIAS";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida de Buenos Aires, 5, Edificio 3 de mayo, planta 4. 38071 - Santa Cruz de Tenerife (Tenerife)";" 922 174 344 / 928 458 393";"icca.cagpa@gobiernodecanarias.org";20/09/2023;14/05/2024;
"104";"EC_0ICC";"B61790887";"INSTITUTO COMUNITARIO DE CERTIFICACIÓN, S.L. (Unipersonal)";"AND/ARA/CYL/NAV";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"CALLE DEL SOL, 16 2º. 08201 - Sabadell (Barcelona)";" 93.725.35.77";"icc@institutocomunitario.com";20/09/2023;14/01/2026;
"105";"EC_INTI";"A31864572";"INSTITUTO NAVARRO DE TECNOLOGÍAS E INFRAESTRUCTURAS AGROALIMENTARIAS, S.A.";"ARA/NAV";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Avda.Serapio Huici, 22. Edificio Peritos. 31610 - Villava/Atarrabia (Navarra)";" 948.01.30.45";"cdolado@intiasa.es";20/09/2023;20/05/2024;
"106";"ES-ECO-037-CM";"G13446992";"INTERPROFESIONAL DEL CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN LA MANCHA (CERTVIN)";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avda. de Criptana, nº 73. 13600 - Alcázar de San Juan (Ciudad Real)";" 926 541 523";"consejo@lamanchawines.com";20/09/2023;14/05/2024;
"107";"CR_MANC";"G13446992";"INTERPROFESIONAL DEL CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN LA MANCHA (CERTVIN)";"CLM";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Avda. de Criptana, nº 73. 13600 - Alcázar de San Juan (Ciudad Real)";" 926 541 523";"consejo@lamanchawines.com";20/09/2023;20/05/2024;
"108";"EC_ITEK";"B48171086";"INTERTEK IBERICA SPAIN, S.L. (Unipersonal)";"AND/CYL/CAT/CAN";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Avenida Recalde, 27, 5ª planta. 48009 - Bilbao (Bizkaia)";" 902 377 388";"info.spain@intertek.com";20/09/2023;20/05/2024;
"109";"ES-ECO-011-AN";"B82944547";"KIWA ESPAÑA, S.L.U.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Plaza Fray Luis Colomer, nº 3. 46021 - Valencia (Valencia)";" 963 120 710";"begona.gamarra@kiwa.com";20/09/2023;14/05/2024;
"110";"ES-ECO-011-CL";"B82944547";"KIWA ESPAÑA, S.L.U.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Plaza Fray Luis Colomer, nº 3. 46021 - Valencia (Valencia)";" 964 120 710";"begona.gamarra@kiwa.com";20/09/2023;14/05/2024;
"111";"ES-ECO-011-CM";"B82944547";"KIWA ESPAÑA, S.L.U.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Plaza Fray Luis Colomer, nº 3. 46021 - Valencia (Valencia)";" 965 120 710";"begona.gamarra@kiwa.com";20/09/2023;14/05/2024;
"112";"EC_LIEC";"B13531660";"LIEC AGROALIMENTARIA, S.L.";"AND/CLM/CYL/CAT/PVA";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Polígono Industrial C/XV, parcela R-113 (bajo). 13200 - Manzanares (Ciudad Real)";" 926 647 115";"info@liec.org";20/09/2023;20/05/2024;
"113";"EC_0OCA";"B65341075";"OCA Instituto de Certificación, S.L. (Unipersonal) (OCA GLOBAL)";"CLM/CYL/CAT";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"Vía de las Dos Castillas, 7. Edificio OCA Global. 28224 - Pozuelo de Alarcón (Madrid)";" 91 799 48 00";"info.certificacion@ocaglobal.com";20/09/2023;20/05/2024;
"114";"ES-ECO-034-AN";"B02566248";"OCE GLOBAL S.L.U.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ La Parra, nº25, bajo. 02002 - Albacete (Albacete)";" 658 334 226";"direccion@oce-global.com";20/09/2023;14/05/2024;
"115";"ES-ECO-034-CM";"B02566248";"OCE GLOBAL S.L.U.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ La Parra, nº25, bajo. 02002 - Albacete (Albacete)";" 658 334 226";"direccion@oce-global.com";20/09/2023;14/05/2024;
"116";"EC_OCEG";"B02566248";"OCE GLOBAL S.L.U.";"CBR";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"C/ La Parra, nº25, bajo. 02002 - Albacete (Albacete)";" 658 334 226";"direccion@oce-global.com";20/09/2023;20/05/2024;
"117";"ES-ECO-015-CN";"Q3900734I";"OFICINA DE CALIDAD ALIMENTARIA";"CANTABRIA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Héroes dos de mayo 27. 39600 -Muriedas (Cantabria)";" 941 269 855";"odeca@cantabria.es";20/09/2023;14/05/2024;
"118";"EC_PREM";"B17558073";"EUROFINS PREMIUMCERT, S.L. (Unipersonal)";"ARA/CAT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Carretera de Santa Creu de Calafell, 49b. 08830 - Sant Boi de Llobregat (Barcelona)";" 935 635 703";"MontserratSibera@eurofins.com";20/09/2023;20/05/2024;
"119";"ES-ECO-033-CL";"B13559927";"QUALITAS NATURA CERTIFICACIÓN, S.L";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Manuel Azaña, 12. 13700 - Tomelloso (Ciudad Real)";" 627 594 221";"raulmcerro@qualitasnatura.es";20/09/2023;14/05/2024;
"120";"ES-ECO-033-CM";"B13559927";"QUALITAS NATURA CERTIFICACIÓN, S.L";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Manuel Azaña, 12. 13700 - Tomelloso (Ciudad Real)";" 628 594 221";"raulmcerro@qualitasnatura.es";20/09/2023;14/05/2024;
"121";"ES-ECO-032-AN";"B48171086";"SAI GLOBAL ASSURANCE SERVICES OFICINA DE REPRESENTACIÓN EN ESPAÑA, LTD";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Alameda Recalde, 27, 5ª planta. 48009 - Bilbao (Bizkaia)";" 902 377 388";"info.spain@intertek.com";20/09/2023;14/05/2024;
"122";"ES-ECO-032-CL";"B48171086";"SAI GLOGAL ASSURANCE SERVICES OFICINA DE REPRESENTACIÓN EN ESPAÑA, LTD";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Alameda Recalde, 27, 5ª planta. 48009 - Bilbao (Bizkaia)";" 903 377 388";"info.spain@intertek.com";20/09/2023;14/05/2024;
"123";"ES-ECO-001-AN";"B91607663";"SERVICIO DE CERTIFICACIÓN CAAE, S.L.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Diego Martínez Barrio nº 10, planta 3ª, módulo 12. 41013 - Sevilla (Sevilla)";" 955 018 968";"caae@caae.es";20/09/2023;14/05/2024;
"124";"ES-ECO-001-AR";"B91607663";"SERVICIO DE CERTIFICACIÓN CAAE, S.L.";"ARAGÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Diego Martínez Barrio nº 10, planta 3ª, módulo 12. 41013 - Sevilla (Sevilla)";" 956 018 968";"caae@caae.es";20/09/2023;14/05/2024;25/04/2025
"125";"ES-ECO-001-CL";"B91607663";"SERVICIO DE CERTIFICACIÓN CAAE, S.L.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Diego Martínez Barrio nº 10, planta 3ª, módulo 12. 41013 - Sevilla (Sevilla)";" 957 018 968";"caae@caae.es";20/09/2023;14/05/2024;
"126";"ES-ECO-001-CM";"B91607663";"SERVICIO DE CERTIFICACIÓN CAAE, S.L.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Diego Martínez Barrio nº 10, planta 3ª, módulo 12. 41013 - Sevilla (Sevilla)";" 958 018 968";"caae@caae.es";20/09/2023;14/05/2024;
"127";"ES-ECO-002-AN";"A82070269";"SOHISCERT, S.A.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Finca La Cañada, Carretera Utrera-Sevilla, km. 20,8. Apdo de correos 349. 41710 - Utrera (Sevilla)";" 955 868 051";"consuelo@sohiscert.com";20/09/2023;14/05/2024;
"128";"ES-ECO-002-AR";"A82070269";"SOHISCERT, S.A.";"ARAGÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Finca La Cañada, Carretera Utrera-Sevilla, km. 20,8. Apdo de correos 349. 41710 - Utrera (Sevilla)";" 955 868 051";"consuelo@sohiscert.com";20/09/2023;14/05/2024;25/04/2025
"129";"ES-ECO-002-CL";"A82070269";"SOHISCERT, S.A.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Finca La Cañada, Carretera Utrera-Sevilla, km. 20,8. Apdo de correos 349. 41710 - Utrera (Sevilla)";" 955 868 051";"consuelo@sohiscert.com";20/09/2023;14/05/2024;
"130";"ES-ECO-002-CM";"A82070269";"SOHISCERT, S.A.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Finca La Cañada, Carretera Utrera-Sevilla, km. 20,8. Apdo de correos 349. 41710 - Utrera (Sevilla)";" 955 868 051";"consuelo@sohiscert.com";20/09/2023;14/05/2024;
"131";"EC_SOHI";"A82070269";"SOHISCERT, S.A.";"AND/ARA/CAN/CLM/CYL/CAT/VAL/MUR";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Finca La Cañada, Carretera Utrera-Sevilla, km. 20,8. Apdo de correos 349. 41710 - Utrera (Sevilla)";" 955 868 051";"consuelo@sohiscert.com";20/09/2023;20/05/2024;
"132";"EC_SYGM";"B13323795";"SYGMA CERTIFICATION, S.L.";"AND/CAN/CAT/MUR/NAV";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"C/ Jose María de la Fuente, 4-2ºB. 13005 - Ciudad Real (Ciudad Real)";" 926 922 288";"info@sygmacert.com";20/09/2023;20/05/2024;
"133";"ES-ECO-010-CL";"B62209044";"ECOCERT S.A.S.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida Luís de Morales. Edificio Forum, 32. 1ª Planta, Letra 5. 41018 - Sevilla (Sevilla)";" 954 644 217";"ecocertiberica@ecocert.com";14/05/2024;;
"134";"CR_SOMO";"Q2200675C";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""SOMONTANO""";"ARA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. de la Merced, 64. 22300 Barbastro (Huesca)";" 974 313 031";"somontano@dosomontano.com";20/05/2024;;
"135";"CR_CALA";"Q5021003H";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""CALATAYUD""";"ARA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Ctra. de Valencia, 8. 50300 Calatayud (Zaragoza)";" 976 884 260";"secretario@docalatayud.com";20/05/2024;;
"136";"CR_PRIE";"Q1471008A";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA PRIEGO DE CORDOBA";"AND";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. Niceto Alcalá Zamora. Parque Urbano Multiusos Recinto Ferial. Pabellón de las Artes. 14800 Priego de Córdoba (Córdoba)";" 957 547 034";"do@priegodecordoba.org";20/05/2024;;
"137";"CR_RGUA";"V06255947 ";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN RIBERA DEL GUADIANA";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. Presidente Juan Carlos Rodríguez Ibarra, s/n. Aptdo. correos 299. 06200 Almendralejo (Badajoz)";" 924 671 302";"info@riberadelguadiana.eu";20/05/2024;;
"138";"CR_MALL";"Q0700718J";"CONSELL REGULADOR INDICACIO GEOGRAFICA PROTEGIDA MALLORCA";"BAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Plaça Andreu Torrens, 4 - 1ª planta. 07320 Santa María del Camí (Illes Balears)";" 608 739 975";"promocio@vtmallorca.com";20/05/2024;;
"139";"PF_QIBO";"Q6055001I";"DENOMINACIÓN DE ORIGEN PROTEGIDA QUESO IBORES";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Mercado Regional de Ganados, Aptdo de Correos nº 67, 10.200 Trujillo (Cáceres)";" 927 323 076";"quesoibores@quesoibores.org";20/05/2024;;
"140";"EC_LILC";"A47288493";"LABORATORIO INTERPROFESIONAL LÁCTEO DE CASTILLA Y LEÓN";"CYL";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"Avda. Viñalta S/N, Aptdo de Correos 382. 34080 - Palencia";" 979 701 982/92";;20/05/2024;;
"141";"EC_LGAI";"A63207492";"LGAI TECHNOLOGICAL CENTER, S.A (APPLUS)";"CAT";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Campus de la U.A.B. Ronda de la Font del Carme, s/n. 08193 Bellaterra (Barcelona)";" 935 672 000";"info@appluslaboratories.com";20/05/2024;;
"142";"EC_ODEC";"Q3900734I";"OFICINA DE CALIDAD ALIMENTARIA";"CBR";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"Héroes dos de mayo 27. 39600 -Muriedas (Cantabria)";" 942 269 855";"odeca@cantabria.es";20/05/2024;;
"143";"CR_UVAM";"V03464799";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN UVA DE MESA EMBOLSADA DEL VINALOPÓ";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. Alicante, 123; 03670 Monforte del Cid (Alicante)";"965 60 48 59";"info@uva-vinalopo.org";21/05/2024;;
"144";"ES-ECO-020-CV";"Q9655775F";"COMITÉ DE AGRICULTURA ECOLOGICA DE LA COMUNIDAD VALENCIANA (CAECV)";"COMUNIDAD VALENCIANA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Parc Industrial Ciutat de Carlet. C/ Tramontana, 16. 46240 - Carlet (Valencia)";"962 538 241";"rgarcia@caecv.com";30/07/2025;;
"145";"IB_CCAL";"B91292458";"CERTICALIDAD, S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"Pol. Ind. Nuevo Calonge. C/ Espátula, 13-15
41007 - Sevilla";"954367484";"certicalidad@certicalidad.com";14/01/2026;14/01/2026;
"146";"IB_INCE";"B21452990";"INCEDECA, S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"Avenida de Huelva nº 18, local 3
21200 - Aracena
Huelva";"655153042";"fjpalomo@incedeca.com";14/01/2026;14/01/2026;
"147";"IB_APOR";"B91421685";"ARAPORC, ENTIDAD DE INSPECCIÓN, S.L. (Araporcei)";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"C/ Gabriel Miró, Edificio Wertice 2º Planta izquierda, Módulo 1. 41703 - Dos Hermanas (Sevilla)";"954647423";"teresalopez@araporcei.es";14/01/2026;14/01/2026;
"148";"IB_TRCO";"B06618714";"TRAZA&CONTROL IBÉRICA, S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"Centro Comercial Las Vaguadas, local nº 6
06010 - Badajoz";"924268768";"info@trazacontrol.es";14/01/2026;14/01/2026;
"149";"IB_ININ";"B37402658";"INSECAL INSPECCIÓN S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"C/ Hoces del Duratón, 13 - 1º derecha
37008 - Salamanca
Salamanca";"923192228";"calidad@insecal.com";14/01/2026;14/01/2026;
"150";"IB_AIVT";"B87000675";"AGROIBÉRICA INGENIEROS VERIFICACIONES TÉCNICAS, S.L. (AIVT)";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"Calle Arquitectura 6, Torre 9, Planta 1ª, módulo 12. Parque Empresarial Torneo
41015 - Sevilla";"955440441";"calidad@agroibericaingenieros.es";14/01/2026;14/01/2026;
"151";"IB_AENO";"A84251990";"AENOR CONFÍA, S.A. (Unipersonal)";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"C/ Génova, nº 6
28004 - Madrid
Madrid";"914326000";"info@aenor.com";14/01/2026;14/01/2026;
"152";"IB_CCAR";"B83718502";"CERTICAR, S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"C/ José Abascal, nº 44
28003 - Madrid";"915711105";"anasanchez@certicar.es";14/01/2026;14/01/2026;
"153";"IB_CCER";"B37350543";"CERTIFICADORES DE CALIDAD, S.L.(Unipersonal) (CALICER)";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"C/ Hoces del Duratón, nº 13, 1º Izquierda. Poligono Industrial El Montalvo II
37008 - Salamanca";"923192238";"calicer@calicer.com";14/01/2026;14/01/2026;
"154";"IB_CERF";"B83196907";"CERTIFOOD, S.L.";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"C/Cristóbal Bordiu, 35. of. 415
28003 - Madrid";"917450014";"dtecnica@certifood.org";14/01/2026;14/01/2026;
"155";"IB_HYCE";"B37392925";"H.Y. CERTIFICADORA, S.L. (Unipersonal)";"NACIONAL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"C/ Perdón 2 - 1, Bajo A
37008 - Salamanca";"923198160";"hycer@colvet.es";14/01/2026;14/01/2026;
