"Código SIEX";"NIF";"Razón social";"Especie";"Email";"Teléfono";"Detalle";"Autoridad competente"
"136";"G14660401";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE OVINO SELECTO DE LA RAZA LACAUNE";"Ovinos";"aesla@lacaune.net";"605008444";"Asociación de razas";"MAPA"
"137";"G01125053";"CONFEDERACIÓN DE ASOCIACIONES DE CRIADORES DE GANADO OVINO DE RAZA LATXA Y CARRANZANA";"Ovinos";"mlasarte@aslana.centroiza.com";"636347472";"Asociación de razas";"MAPA"
"138";"G18857128";"ASOCIACIÓN DE GANADEROS CRIADORES DE LA RAZA OVINA LOJEÑA DEL PONIENTE GRANADINO";"Ovinos";"asociacionrazaovina@ponientegranadino.org";"660545902 / 638835208";"Asociación de razas";"ANDALUCÍA"
"139";"G44171429";"ASOCIACIÓN DE CRIADORES DE GANADO OVINO DE RAZA MAELLANA DE TERUEL";"Ovinos";"arama@oviaragon.com";"978 85 80 28 / 608 09 68 74";"Asociación de razas";"ARAGÓN"
"140";"G78071305";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO SELECTO DE RAZA MANCHEGA";"Ovinos";"rgallego@agrama.org";"967 217 436 / 91 575 79 67";"Asociación de razas";"MAPA"
"141";"G28799633";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO MERINO";"Ovinos";"secretarioejecutivo@razamerina.com";"640019364 // 606395700";"Asociación de razas";"MAPA"
"142";"G11543691";"ASOCIACIÓN DE CRIADORES DE LA RAZA OVINA MERINA DE GRAZALEMA";"Ovinos";"raza@merinadegrazalema.com";"628 11 86 62";"Asociación de razas";"ANDALUCÍA"
"143";"G18593293";"ASOCIACIÓN NACIONAL DE CRIADORES DE OVEJA MONTESINA";"Ovinos";"ovejamontesina@hotmail.es";"676964326";"Asociación de razas";"ANDALUCÍA"
"144";"G31253446";"ASOCIACION DE CRIADORES Y SELECCIONADORES DE OVINO DE RAZA NAVARRA";"Ovinos";"arana@arana.centroiza.com";"948 30 35 12 / 639253259";"Asociación de razas";"MAPA"
"145";"G42155804";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO SELECTO DE RAZA OJALADA";"Ovinos";"ojalada@hotmail.com";"975351357/689250071";"Asociación de razas";"CASTILLA Y LEÓN"
"146";"G44171411";"ASOCIACIÓN NACIONAL DE GANADEROS DE OVINO DE RAZA OJINEGRA DE TERUEL";"Ovinos";"razaojinegra@razaojinegra.es";"978 849700 / 629675651";"Asociación de razas";"MAPA"
"147";"G57426363";"ASSOCIACIÓ DE CRIADORS D'OVELLA EIVISSENCA";"Ovinos";"info@fepira.cat.com";"652675352";"Asociación de razas";"ILLES BALEARS"
"148";"G32267296";"ASOCIACIÓN DE CRIADORES DA RAZA OVELLA GALEGA";"Ovinos";"asovega@asovega.es";"634548600";"Asociación de razas";"GALICIA"
"149";"G07807100";"ASSOCIACIÓ DE RAMADERS DE L'OVELLA DE RAÇA MALLORQUINA";"Ovinos";"maespinosamo@gmail.com";"670430552";"Asociación de razas";"ILLES BALEARS"
"150";"G07850977";"ASSOCIACIÓ DE L'OVELLA AUTÓCTONA DE MENORCA";"Ovinos";"ads.menorca@gmail.com";"971375170 / 971 15 33 76";"Asociación de razas";"ILLES BALEARS"
"151";"G07862964";"ASSOCIACIÓ OVELLA ROJA MALLORQUINA";"Ovinos";"jaime.prohensa@gmail.com";"686607549, 635767703";"Asociación de razas";"ILLES BALEARS"
"152";"G28494995";"ASOCIACION ESPAÑOLA DE CRIADORES DE OVINOS PRECOCES";"Ovinos";"ovinos.precoces@aecop.es";"924 17 03 93; 662 43 44 22";"Asociación de razas";"MAPA"
"153";"G38639134";"ASOCIACIÓN DE CRIADORES DE OVEJA PALMERA";"Ovinos";"anabelavet@hotmail.com";"626 00 58 60";"Asociación de razas";"ISLAS CANARIAS"
"154";"G50094549";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO SELECTO DE RAZA RASA ARAGONESA";"Ovinos";"angra@rasaaragonesa.com";"976694491/636973960";"Asociación de razas";"MAPA"
"155";"G99163420";"UNIÓN DE PRODUCTORES DE RAZA RASA ARAGONESA";"Ovinos";"upra@oviaragon.com";"976138050/699920292";"Asociación de razas";"MAPA"
"156";"G17217878";"ASOCIACIÓN NACIONAL DE CRIADORES DE OVINO DE RAZA RIPOLLESA";"Ovinos";"jordi.rufi@semega.cat";"972630625 / 972630288";"Asociación de razas";"CATALUÑA"
"157";"G50871490";"ASOCIACIÓN DE GANADEROS DE OVINO DE RAZA ROYA BILBILITANA";"Ovinos";"vmiguel@oviaragon.com";"687 661 156";"Asociación de razas";"ARAGÓN"
"158";"G82036005";"ASOCIACIÓN DE CRIADORES DE GANADO OVINO DE LA RAZA RUBIA DE EL MOLAR";"Ovinos";"asociacion.rubiadelmolar@gmail.com";"630610373";"Asociación de razas";"MADRID"
"159";"G31914310";"ASOCIACION DE CRIADORES DE SASI ARDI DE NAVARRA";"Ovinos";"jasiain@intiasa.es";"948 01 30 50 / 669 88 88 98";"Asociación de razas";"NAVARRA"
"160";"G95743431";"EUSKADIKO SASI-ARDI FEDERAZIOA";"Ovinos";"minza@abelur.eus";"646755476";"Asociación de razas";"PAÍS VASCO"
"161";"G18055566";"ASOCIACIÓN NACIONAL DE CRIADORES DE OVINO SEGUREÑO";"Ovinos";"ancos.info@gmail.com";"958 74 13 16 / 620866885";"Asociación de razas";"MAPA"
"162";"G45293503";"ASOCIACIÓN DE GANADEROS DE LA RAZA OVINA TALAVERANA";"Ovinos";"veterinario@giladrados.es";"608016935 / 680644064";"Asociación de razas";"CASTILLA LA MANCHA"
"163";"G33394230";"ASOCIACIÓN DE CRIADORES D'OVEYA XALDA";"Ovinos";"info@xalda.com";"687840500";"Asociación de razas";"PRINCIPADO DE ASTURIAS"
"164";"G22380125";"FEDERACIÓN DE ASOCIACIONES DE CRIADORES DE GANADO OVINO SELECTO DE RAZA XISQUETA";"Ovinos";"aracoxi@feagas.es";"690697090 / 636396449";"Asociación de razas";"MAPA"
"165";"G28489359";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO PORCINO SELECTO";"Cerdos";"anps@anps.es";"91 401 08 50/696 431 331";"Asociación de razas";"MAPA"
"166";;"EUSKAL HERRIKO EUSKAL TXERRIAREN ELKARTEA";"Cerdos";;"605701204";"Asociación de razas";"PAÍS VASCO"
"167";"G74139973";"ASOCIACIÓN DE CRIADORES DE GOCHU ASTURCELTA";"Cerdos";"gochuasturcelta@gmail.com";"670366966";"Asociación de razas";"PRINCIPADO DE ASTURIAS"
"168";"G06053334";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE CERDO IBÉRICO";"Cerdos";"aeceriber@aeceriber.es";"924554983";"Asociación de razas";"MAPA"
"169";"G35620400";"ASOCIACIÓN DE CRIADORES DE COCHINO NEGRO CANARIO";"Cerdos";"fpdorado@gmail.com";"677479801";"Asociación de razas";"ISLAS CANARIAS"
"170";"G07492648";"ASSOCIACIÓ DE RAMADERS DE PORC NEGRE MALLORQUÍ SELECTE";"Cerdos";"porcnegremallorqui@gmail.com";"659 53 22 62";"Asociación de razas";"ILLES BALEARS"
"171";"G27243500";"ASOCIACION DE CRIADORES DE GANADO PORCINO CELTA";"Cerdos";"asoporcel@asoporcel.es";"982 226 252 / 626 97 50 04";"Asociación de razas";"GALICIA"
"189";"G24683385";"ASOCIACIÓN PARA LA RECUPERACIÓN DE LA RAZA BOVINA MANTEQUERA LEONESA";"Bovinos";"mantequeraleonesa@gmail.com";"662334972";"Asociación de razas";"CASTILLA Y LEÓN"
"190";;"EUSKAL OILOAREN FEDERAZIOA ¿ FEDERACIÓN DE CRIADORES DE EUSKAL OILOA";"Gallinas";"minza@abelur.eus";"646755476";"Asociación de razas";"PAÍS VASCO"
"191";"G95431714";"ASOCIACIÓN VASCA PARA LA DEFENSA Y PROTECCIÓN DE LA CRIANZA DE GANADO OVINO CARANEGRA";"Ovinos";;;"Asociación de razas";"PAÍS VASCO"
"192";"G09756024";"ASOCIACIÓN DE CRIADORES DE LA VACA MURCIANO LEVANTINA";"Bovinos";"vacamurcianolevantina@gmail.com";"633852877";"Asociación de razas";"MURCIA"
"193";"G44942027";"CRIADORES ASOCIADOS DE CHATO MURCIANO";"Cerdos";"fhagustin.abogados@gmail.com";;"Asociación de razas";"MURCIA"
"194";"G09823485";"ASOCIACIÓN DE CRIADORES DE PURA RAZA CABALLO DE LAS RETUERTAS";"Équidos";"caballodelasretuertas@gmail.com";"690652438";"Asociación de razas";"ANDALUCÍA"
